ID,required language,position name,work experience,education,salary_lower_bound,salary_upper_bound,company scale,location,series level,company_name,search num
3010,PHP,PHP,3-5year,Unlimited,15,20,50-150人,Hangzhou,developing (A round),慕尚传媒,384000
3011,PHP,PHP,1-3year,junior college,4,8,150-500人,Hangzhou,developing (no financing need),慕玛餐饮,58000
3012,PHP,PHP,1-3year,Bachelor,10,15,15-50人,Shanghai,startup (no financing need),木七七,439000
3013,PHP,PHP,1-3year,Bachelor,5,9,50-150人,Hangzhou,developing (no financing need),莫忧信息技术,50
3014,PHP,PHP,1-3year,Bachelor,5,9,15-50人,Xi'an,startup (no financing need),魔之方科技,1370000
3015,PHP,PHP,3-5year,junior college,10,20,50-150人,Guangzhou,developing (no financing need),魔饭科技,387000
3016,PHP,PHP,3-5year,junior college,10,20,500-2000人,Hangzhou,mature (no financing need),铭师堂教育,190000
3017,PHP,PHP,1-3year,junior college,6,9,50-150人,Chengdu,startup (no financing),明医,15900000
3018,PHP,PHP,1-3year,junior college,6,12,150-500人,Nanjing,developing (no financing need),名游,65600
3019,PHP,PHP,1-3year,Unlimited,8,15,15-50人,Guangzhou,developing (B round),名扬,12900000
3020,PHP,PHP,3-5year,junior college,16,22,2000人以上,Shenzhen,mature (no financing need),妙晴科技,2830
3021,PHP,PHP,3-5year,Bachelor,8,15,150-500人,Changsha,developing (no financing need),觅游信息,18400
3022,PHP,PHP,1-3year,Bachelor,8,12,15-50人,Suzhou,developing (A round),米龙谷,178000
3023,PHP,PHP,3-5year,junior college,12,18,15-50人,Shanghai,developing (A round),米领通信,1470000
3024,PHP,PHP,3-5year,Bachelor,13,25,15-50人,Beijing,startup (angel round),米饭粒,1010000
3025,PHP,PHP,5-10year,Bachelor,15,30,50-150人,Shanghai,startup (no financing),米筹金服,91800
3026,PHP,PHP,3-5year,Bachelor,15,25,15-50人,Shenzhen,startup (angel round),谜语者,2240000
3027,PHP,PHP,unlimited,junior college,7,14,50-150人,Wuhan,developing (no financing need),迷你付,49000
3028,PHP,PHP,3-5year,Bachelor,10,20,15-50人,Hangzhou,startup (no financing need),梦想艺族,1660
3029,PHP,PHP,1-3year,Bachelor,5,10,少于15人,Xi'an,startup (no financing),梦想魔方网络,807000
3030,PHP,PHP,1-3year,Bachelor,10,20,15-50人,Shenzhen,startup (angel round),美约时代,70800
3031,PHP,PHP,1-3year,Bachelor,15,25,500-2000人,Shanghai,mature (C round),美味不用等,1020000
3032,PHP,PHP,3-5year,Bachelor,20,35,2000人以上,Beijing,mature (D round or over),美团点评,3430000
3033,PHP,PHP,3-5year,Bachelor,20,35,2000人以上,Beijing,mature (D round or over),美团点评,3430000
3034,PHP,PHP,3-5year,junior college,7,10,150-500人,Xi'an,developing (A round),美太太,3740000
3035,PHP,PHP,5-10year,Unlimited,18,30,2000人以上,Beijing,startup (no financing),美联英语,2020000
3036,PHP,PHP,1-3year,junior college,8,10,50-150人,Guangzhou,startup (no financing),美滴滴,2190000
3037,PHP,PHP,3-5year,Bachelor,20,40,2000人以上,Beijing,mature (C round),美菜网,1880000
3038,PHP,PHP,3-5year,Bachelor,7,11,15-50人,Chengdu,startup (no financing),芒果校园,2360000
3039,PHP,PHP,1-3year,Bachelor,14,26,150-500人,Shanghai,developing (no financing need),漫存网络,5200000
3040,PHP,PHP,1-3year,junior college,6,12,150-500人,Hangzhou,developing (no financing need),曼图科技,93200
3041,PHP,PHP,1-3year,junior college,8,11,15-50人,Guangzhou,startup (no financing need),麦圈互动,101000
3042,PHP,PHP,5-10year,junior college,15,30,15-50人,Guangzhou,startup (angel round),麦仑科技,93000
3043,PHP,PHP,1-3year,Bachelor,5,10,15-50人,Chengdu,startup (no financing),麦进斗科技,6510
3044,PHP,PHP,3-5year,junior college,8,10,50-150人,Wuhan,startup (no financing),麦尔盛,297000
3045,PHP,PHP,3-5year,Unlimited,8,15,50-150人,Wuhan,startup (no financing),麦尔盛,297000
3046,PHP,PHP,1-3year,junior college,8,12,15-50人,Shenzhen,startup (no financing need),迈卡网络,234000
3047,PHP,PHP,1-3year,Bachelor,15,25,500-2000人,Shanghai,mature (C round),买单侠,894000
3048,PHP,PHP,3-5year,junior college,15,30,50-150人,Shanghai,developing (A round),蚂蚁HR,703000
3049,PHP,PHP,3-5year,Unlimited,18,30,150-500人,Hangzhou,developing (A round),码虫网络,169000
3050,PHP,PHP,3-5year,junior college,8,15,50-150人,Hangzhou,startup (no financing),洛方科技,90
3051,PHP,PHP,5-10year,junior college,20,25,15-50人,Shanghai,startup (no financing),罗密欧生活圈,34800
3052,PHP,PHP,1-3year,Bachelor,9,15,50-150人,Shenzhen,developing (no financing need),罗伯医疗,611000
3053,PHP,PHP,unlimited,junior college,5,10,少于15人,Xi'an,startup (angel round),绿豆芽科技,1720000
3054,PHP,PHP,3-5year,junior college,12,24,50-150人,Shanghai,developing (B round),驴徒网,10900
3055,PHP,PHP,5-10year,Bachelor,15,25,2000人以上,Shanghai,listed company,驴妈妈旅游网,2610000
3056,PHP,PHP,3-5year,Bachelor,12,24,2000人以上,Shanghai,listed company,驴妈妈旅游网,2610000
3057,PHP,php,3-5year,Bachelor,9,15,15-50人,Chengdu,startup (no financing need),路易师傅,1220000
3058,PHP,PHP,unlimited,Unlimited,15,30,150-500人,Shenzhen,startup (no financing),路行鸟,1860000
3059,PHP,PHP,3-5year,Bachelor,15,25,15-50人,Shenzhen,startup (no financing need),路上,35400000
3060,PHP,PHP,1-3year,junior college,6,10,150-500人,Changsha,startup (no financing),楼盘网,6050000
3061,PHP,PHP,1-3year,junior college,8,15,15-50人,Chengdu,startup (angel round),令鹿,1360000
3062,PHP,PHP,1-3year,junior college,8,15,15-50人,Chengdu,startup (angel round),令鹿,1360000
3063,PHP,PHP,freshgraduate,Bachelor,12,15,15-50人,Beijing,startup (no financing need),零用钱,9660000
